4;1
A1:3;A2:3;A3:2;A4:2
B:3
16
0.9;0.1;0.0; 1.0;0.0;0.0; 0.8;0.2; 0.4;0.6; 0.0;0.8;0.2
0.8;0.2;0.0; 0.6;0.4;0.0; 0.0;1.0; 0.0;1.0; 0.6;0.4;0.0
0.0;0.7;0.3; 0.8;0.2;0.0; 0.1;0.9; 0.2;0.8; 0.3;0.6;0.1
0.2;0.7;0.1; 0.3;0.7;0.0; 0.2;0.8; 0.3;0.7; 0.9;0.1;0.0
0.0;0.1;0.9; 0.7;0.3;0.0; 0.5;0.5; 0.5;0.5; 0.0;0.0;1.0
0.0;0.7;0.3; 0.0;0.3;0.7; 0.7;0.3; 0.4;0.6; 0.2;0.0;0.8
0.0;0.3;0.7; 0.0;0.0;1.0; 0.0;1.0; 0.1;0.9; 0.0;0.0;1.0
0.0;1.0;0.0; 0.0;0.2;0.8; 0.2;0.8; 0.0;1.0; 0.7;0.0;0.3
1.0;0.0;0.0; 1.0;0.0;0.0; 0.6;0.4; 0.7;0.3; 0.2;0.8;0.0
0.9;0.1;0.0; 0.0;0.3;0.7; 0.0;1.0; 0.9;0.1; 0.0;0.3;0.7
0.7;0.3;0.0; 1.0;0.0;0.0; 1.0;0.0; 0.2;0.8; 0.3;0.7;0.0
0.2;0.6;0.2; 0.0;1.0;0.0; 0.3;0.7; 0.3;0.7; 0.7;0.2;0.1
0.9;0.1;0.0; 0.2;0.8;0.0; 0.1;0.9; 1.0;0.0; 0.0;0.0;1.0
0.0;0.9;0.1; 0.0;0.9;0.1; 0.1;0.9; 0.7;0.3; 0.0;0.0;1.0
0.0;0.0;1.0; 0.0;0.0;1.0; 1.0;0.0; 0.8;0.2; 0.0;0.0;1.0
1.0;0.0;0.0; 0.5;0.5;0.0; 0.0;1.0; 0.0;1.0; 0.5;0.5;0.0
0.16;0.75
1.0;0.0;0.0; 0.0;1.0;0.0; 0.0;1.0; 1.0;0.0